annee;patho_niv1;patho_niv2;patho_niv3;top;cla_age_5;sexe;region;dept;ntop;npop;prev;niveau_prioritaire;libelle_classe_age;libelle_sexe;tri
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;1;999;290;4210;6.893;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;2;972;230;4480;5.107;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;3;999;40;640;6.056;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;4;999;410;5610;7.33;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;6;976;20;340;4.72;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;6;999;20;340;4.72;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;11;75;2940;20740;14.191;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;11;78;2060;14460;14.233;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;11;91;1840;11910;15.437;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;11;92;1760;13690;12.885;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;11;93;1400;11080;12.623;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;24;18;660;4640;14.28;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;24;28;730;5040;14.53;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;24;36;470;3660;12.909;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;27;39;470;3630;12.968;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;27;70;470;3320;14.036;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;27;89;720;4710;15.171;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;28;14;1290;8270;15.59;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;28;27;890;6320;14.143;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;32;2;1040;5720;18.177;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;32;80;1070;6120;17.396;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;44;55;350;2440;14.309;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;44;68;1150;9300;12.38;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;44;8;540;3370;15.988;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;52;53;690;4120;16.638;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;52;85;1670;10340;16.112;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;53;29;1850;12020;15.381;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;53;999;6870;43990;15.616;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;75;19;530;3740;14.045;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;75;33;2470;17360;14.229;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;75;40;900;6290;14.272;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;76;11;640;5360;11.845;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;76;30;1260;9780;12.91;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;76;66;720;7400;9.708;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;76;81;770;5980;12.87;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;84;42;1370;10380;13.183;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;84;999;11280;94810;11.897;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;93;6;2050;16690;12.29;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;93;84;840;7210;11.657;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;1;94;2B;350;2400;14.607;2,3;de 80 à 84 ans;hommes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;1;971;560;5810;9.589;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;1;999;560;5810;9.589;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;2;972;470;6460;7.265;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;2;999;470;6460;7.265;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;4;999;710;8260;8.535;2,3;de 80 à 84 ans;femmes;51.0
